"Index","SP500.usd"
2009-02-04,5687.45982
2009-02-05,5782.2306
2009-02-06,5936.35984
2009-02-09,5949.786633
2009-02-10,5645.118852
2009-02-11,5697.112168
2009-02-12,5708.52365
2009-02-13,5655.337548
2009-02-17,5394.76612
2009-02-18,5391.137118
2009-02-19,5324.44437
2009-02-20,5264.98586
2009-02-23,5081.40388
2009-02-24,5286.190122
2009-02-25,5229.92726
2009-02-26,5146.797578
2009-02-27,5027.721564
2009-03-02,4796.41208
2009-03-03,4763.872062
2009-03-04,4878.454558
2009-03-05,4669.18804
2009-03-06,4674.3192
2009-03-09,4627.803465
2009-03-10,4923.07144
2009-03-11,4934.390944
2009-03-12,5134.160712
2009-03-13,5173.44021
2009-03-16,5155.325987
2009-03-17,5320.084252
2009-03-18,5429.22338
2009-03-19,5350.68098
2009-03-20,5247.360558
2009-03-23,5623.670696
2009-03-24,5505.39654
2009-03-25,5559.532892
2009-03-26,5690.266092
2009-03-27,5574.09411
2009-03-30,5384.027598
2009-03-31,5452.164858
2009-04-01,5543.082936
2009-04-02,5702.57011
2009-04-03,5758.319
2009-04-06,5710.338704
2009-04-07,5575.507575
2009-04-08,5640.38118
2009-04-09,5854.15932
2009-04-13,5869.677169
2009-04-14,5749.38045
2009-04-15,5821.69995
2009-04-16,5911.81613
2009-04-17,5941.62896
2009-04-20,5688.220304
2009-04-21,5802.561072
2009-04-22,5761.362145
2009-04-23,5815.887456
2009-04-24,5913.319095
2009-04-27,5854.392272
2009-04-28,5838.006288
2009-04-29,5962.15618
2009-04-30,5951.254985
2009-05-01,5983.37012
2009-05-04,6189.554176
2009-05-05,6163.28334
2009-05-06,6269.447493
2009-05-07,6189.760885
2009-05-08,6338.649522
2009-05-11,6204.290064
2009-05-12,6196.309525
2009-05-13,6030.5442
2009-05-14,6094.934829
2009-05-15,6025.656
2009-05-18,6210.59017
2009-05-19,6197.623998
2009-05-20,6166.18275
2009-05-21,6062.585751
2009-05-22,6052.1784
2009-05-26,6220.102824
2009-05-27,6098.081598
2009-05-28,6192.107289
2009-05-29,6276.163662
2009-06-01,6436.596342
2009-06-02,6453.329992
2009-06-03,6364.666208
2009-06-04,6440.111918
2009-06-05,6423.728979
2009-06-08,6421.181922
2009-06-09,6441.886022
2009-06-10,6417.39978
2009-06-11,6460.118441
2009-06-12,6467.723834
2009-06-15,6314.827036
2009-06-16,6232.40298
2009-06-17,6226.433199
2009-06-18,6276.783439
2009-06-19,6297.804649
2009-06-22,6104.37492
2009-06-23,6117.73997
2009-06-24,6156.303208
2009-06-25,6289.608996
2009-06-26,6279.30315
2009-06-29,6336.226205
2009-06-30,6279.41526
2009-07-01,6310.129553
2009-07-02,6123.803588
2009-07-06,6142.211968
2009-07-07,6019.901784
2009-07-08,6009.857568
2009-07-09,6030.293224
2009-07-10,6006.831551
2009-07-13,6156.69444
2009-07-14,6189.514136
2009-07-15,6371.789956
