"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 06, 2007","2,364.97","2,364.97","2,364.97","2,364.97","0","1.51"
"Dec 05, 2007","2,329.71","2,329.71","2,329.71","2,329.71","0","1.57"
"Dec 04, 2007","2,293.65","2,293.65","2,293.65","2,293.65","0","-0.65"
"Dec 03, 2007","2,308.74","2,308.74","2,308.74","2,308.74","0","-0.59"
"Nov 30, 2007","2,322.34","2,322.34","2,322.34","2,322.34","0","0.78"
"Nov 29, 2007","2,304.43","2,304.43","2,304.43","2,304.43","0","0.05"
"Nov 28, 2007","2,303.17","2,303.17","2,303.17","2,303.17","0","2.89"
"Nov 27, 2007","2,238.52","2,238.52","2,238.52","2,238.52","0","1.50"
"Nov 26, 2007","2,205.49","2,205.49","2,205.49","2,205.49","0","-2.32"
"Nov 23, 2007","2,257.95","2,257.95","2,257.95","2,257.95","0","1.70"
"Nov 21, 2007","2,220.21","2,220.21","2,220.21","2,220.21","0","-1.59"
"Nov 20, 2007","2,256.02","2,256.02","2,256.02","2,256.02","0","0.45"
"Nov 19, 2007","2,245.81","2,245.81","2,245.81","2,245.81","0","-1.74"
"Nov 16, 2007","2,285.67","2,285.67","2,285.67","2,285.67","0","0.53"
"Nov 15, 2007","2,273.73","2,273.73","2,273.73","2,273.73","0","-1.32"
"Nov 14, 2007","2,304.06","2,304.06","2,304.06","2,304.06","0","-0.68"
"Nov 13, 2007","2,319.86","2,319.86","2,319.86","2,319.86","0","2.94"
"Nov 12, 2007","2,253.53","2,253.53","2,253.53","2,253.53","0","-1.00"
"Nov 09, 2007","2,276.26","2,276.26","2,276.26","2,276.26","0","-1.43"
"Nov 08, 2007","2,309.18","2,309.18","2,309.18","2,309.18","0","-0.05"
"Nov 07, 2007","2,310.41","2,310.41","2,310.41","2,310.41","0","-2.89"
"Nov 06, 2007","2,379.05","2,379.05","2,379.05","2,379.05","0","1.21"
"Nov 05, 2007","2,350.69","2,350.69","2,350.69","2,350.69","0","-0.49"
"Nov 02, 2007","2,362.21","2,362.21","2,362.21","2,362.21","0","0.08"
"Nov 01, 2007","2,360.21","2,360.21","2,360.21","2,360.21","0","-2.62"
"Oct 31, 2007","2,423.67","2,423.67","2,423.67","2,423.67","0","1.21"
"Oct 30, 2007","2,394.81","2,394.81","2,394.81","2,394.81","0","-0.64"
"Oct 29, 2007","2,410.33","2,410.33","2,410.33","2,410.33","0","0.39"
"Oct 26, 2007","2,401.07","2,401.07","2,401.07","2,401.07","0","1.38"
"Oct 25, 2007","2,368.43","2,368.43","2,368.43","2,368.43","0","-0.10"
"Oct 24, 2007","2,370.71","2,370.71","2,370.71","2,370.71","0","-0.24"
